# ZZ, ZT, RHO, THBAR, PBAR, PIBAR, QVBAR, Q1LS, Q2LS, RHOZ
0.000000000000000000e+00 0.000000000000000000e+00 1.143999999999999906e+00 3.012459999999999809e+02 1.000000000000000000e+05 1.000000000000000000e+00 1.789999999999999925e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.143999999999999906e+00
2.000000000000000000e+02 1.000000000000000000e+02 1.135000000000000009e+00 3.012880000000000109e+02 9.888267200000000594e+04 9.969999999999999973e-01 1.770000000000000046e-02 -2.830000000000000010e-06 6.980000000000000298e-09 1.125000000000000000e+00
4.000000000000000000e+02 3.000000000000000000e+02 1.116000000000000103e+00 3.015260000000000105e+02 9.667531200000000536e+04 9.899999999999999911e-01 1.710000000000000062e-02 -9.789999999999999441e-06 1.260000000000000033e-08 1.106000000000000094e+00
6.000000000000000000e+02 5.000000000000000000e+02 1.096999999999999975e+00 3.021259999999999764e+02 9.450539100000000326e+04 9.839999999999999858e-01 1.619999999999999912e-02 -1.669999999999999935e-05 1.809999999999999995e-08 1.086000000000000076e+00
8.000000000000000000e+02 7.000000000000000000e+02 1.076000000000000068e+00 3.030760000000000218e+02 9.237455499999999302e+04 9.779999999999999805e-01 1.499999999999999944e-02 -2.220000000000000090e-05 2.080000000000000096e-08 1.066000000000000059e+00
1.000000000000000000e+03 9.000000000000000000e+02 1.056999999999999940e+00 3.039150000000000205e+02 9.028300800000000163e+04 9.709999999999999742e-01 1.400000000000000029e-02 -2.760000000000000002e-05 2.340000000000000109e-08 1.046999999999999931e+00
1.200000000000000000e+03 1.100000000000000000e+03 1.036999999999999922e+00 3.048380000000000223e+02 8.823008599999999569e+04 9.649999999999999689e-01 1.280000000000000061e-02 -3.199999999999999855e-05 2.469999999999999949e-08 1.026999999999999913e+00
1.400000000000000000e+03 1.300000000000000000e+03 1.016999999999999904e+00 3.058129999999999882e+02 8.621558599999999569e+04 9.589999999999999636e-01 1.170000000000000033e-02 -3.550000000000000231e-05 2.509999999999999976e-08 1.008000000000000007e+00
1.600000000000000000e+03 1.500000000000000000e+03 9.979999999999999982e-01 3.068299999999999841e+02 8.423925000000000000e+04 9.519999999999999574e-01 1.069999999999999944e-02 -3.899999999999999929e-05 2.539999999999999914e-08 9.879999999999999893e-01
1.800000000000000000e+03 1.700000000000000000e+03 9.789999999999999813e-01 3.078829999999999814e+02 8.230076600000000326e+04 9.459999999999999520e-01 9.650000000000000591e-03 -4.130000000000000099e-05 2.520000000000000066e-08 9.689999999999999725e-01
2.000000000000000000e+03 1.900000000000000000e+03 9.599999999999999645e-01 3.089730000000000132e+02 8.039985199999999895e+04 9.399999999999999467e-01 8.770000000000000018e-03 -4.319999999999999974e-05 2.469999999999999949e-08 9.499999999999999556e-01
2.200000000000000000e+03 2.100000000000000000e+03 9.409999999999999476e-01 3.100699999999999932e+02 7.853613300000000163e+04 9.330000000000000515e-01 8.009999999999999759e-03 -4.500000000000000283e-05 2.420000000000000163e-08 9.320000000000000506e-01
2.400000000000000000e+03 2.300000000000000000e+03 9.220000000000000417e-01 3.111569999999999823e+02 7.670907799999999406e+04 9.270000000000000462e-01 7.340000000000000170e-03 -4.660000000000000107e-05 2.359999999999999957e-08 9.130000000000000338e-01
